date,hour,open,high,low,close,volume(BTC),ohlc4,SMA48,average_true_range,EMA9,EMA48,10x short,25x short,50x short,100x short,10x long,25x long,50x long,100x long
2022-02-13 09:00:00,9.0,42472.0,42474.0,42300.0,42336.0,4986960.8862,42395.5,42575.82,283.21,42360.88,42625.15,46807.6,43897.28,43005.97,42578.07,38685.73,40928.38,41734.85,42145.89
2022-02-13 10:00:00,10.0,42336.0,42659.0,42271.0,42601.0,11236164.8865,42466.75,42555.01,290.86,42382.05,42618.68,46831.0,43919.22,43027.46,42599.35,38705.07,40948.84,41755.72,42166.96
2022-02-13 11:00:00,11.0,42601.0,42671.0,42476.0,42490.0,8929754.096,42559.5,42536.65,240.36,42417.54,42616.27,46870.21,43956.0,43063.49,42635.02,38737.48,40983.13,41790.68,42202.27
2022-02-13 12:00:00,12.0,42490.0,42647.0,42444.0,42487.0,5555804.3497,42517.0,42516.11,227.14,42437.43,42612.22,46892.19,43976.61,43083.69,42655.02,38755.65,41002.35,41810.28,42222.06
2022-02-13 13:00:00,13.0,42487.0,42594.0,42425.0,42528.0,5250280.8401,42508.5,42491.3,225.57,42451.65,42607.98,46907.9,43991.34,43098.12,42669.3,38768.63,41016.08,41824.28,42236.2
2022-02-13 14:00:00,14.0,42528.0,42756.0,42205.0,42545.0,17935386.9412,42508.5,42467.21,232.79,42463.02,42603.92,46920.46,44003.13,43109.66,42680.73,38779.01,41027.07,41835.48,42247.51
2022-02-13 15:00:00,15.0,42545.0,42790.0,42521.0,42588.0,13830720.9321,42611.0,42445.33,231.64,42492.61,42604.21,46953.16,44033.8,43139.71,42710.48,38806.04,41055.67,41864.64,42276.96
2022-02-13 16:00:00,16.0,42588.0,42604.0,42229.0,42328.0,19669516.6988,42437.25,42420.63,246.5,42481.54,42597.4,46940.93,44022.32,43128.47,42699.35,38795.93,41044.97,41853.73,42265.94
2022-02-13 17:00:00,17.0,42329.0,42329.0,42102.0,42288.0,11742232.8327,42262.0,42393.7,252.29,42437.63,42583.71,46892.41,43976.82,43083.89,42655.22,38755.83,41002.54,41810.48,42222.26
2022-02-13 18:00:00,18.0,42288.0,42421.0,41892.0,42000.0,21072717.7311,42150.25,42374.51,275.14,42380.16,42566.01,46828.9,43917.26,43025.54,42597.45,38703.34,40947.01,41753.85,42165.07
